Id,Prediction
1,0.56007785
2,0.53678954
3,0.56866854
4,0.5402429
5,0.53776276
6,0.54753673
7,0.5375448
8,0.53815323
9,0.53657436
10,0.56861115
11,0.5362537
12,0.56866837
13,0.54530567
14,0.54803824
15,0.5380076
16,0.53611386
17,0.536544
18,0.5626016
19,0.5698652
20,0.5463946
21,0.54341257
22,0.5529627
23,0.55201787
24,0.5381319
25,0.5686224
26,0.5423336
27,0.5697969
28,0.5376893
29,0.55030113
30,0.5379811
31,0.53581405
32,0.56005603
33,0.53700155
34,0.54157454
35,0.53594965
36,0.5690908
37,0.56978256
38,0.53732187
39,0.5434247
40,0.53796744
41,0.5372989
42,0.53806204
43,0.5456334
44,0.58510494
45,0.53793025
46,0.53830206
47,0.56978256
48,0.55225223
49,0.53892076
50,0.5405147
51,0.5375995
52,0.5374082
53,0.5364561
54,0.53789383
55,0.56980133
56,0.5388577
57,0.5370125
58,0.5704684
59,0.53784996
60,0.5374405
61,0.5410875
62,0.569802
63,0.5370773
64,0.5367683
65,0.5600563
66,0.5371617
67,0.5363885
68,0.56982154
69,0.5371301
70,0.5405896
71,0.56979334
72,0.53909445
73,0.568659
74,0.5360151
75,0.5367358
76,0.5365651
77,0.54860765
78,0.54730886
79,0.53894275
80,0.53801185
81,0.5401224
82,0.5374702
83,0.5369206
84,0.56869197
85,0.54519016
86,0.56986713
87,0.5400798
88,0.54879206
89,0.53892225
90,0.5403694
91,0.53831196
92,0.56978995
93,0.5365309
94,0.53692293
95,0.53734964
96,0.5366816
97,0.5474477
98,0.53903145
99,0.5686695
100,0.5686952
101,0.5698585
102,0.56978256
103,0.5697054
104,0.56978595
105,0.5394827
106,0.54870003
107,0.56978256
108,0.5366894
109,0.5698264
110,0.569808
111,0.5370448
112,0.53786373
113,0.5371807
114,0.53617424
115,0.5376613
116,0.56978333
117,0.53877246
118,0.53646564
119,0.5686924
120,0.56869006
121,0.53920877
122,0.5373434
123,0.5511263
124,0.54075307
125,0.5387099
126,0.5385523
127,0.53564495
128,0.5686704
129,0.56869155
130,0.53812754
131,0.569847
132,0.5604626
133,0.5381257
134,0.57045686
135,0.5686886
136,0.54118013
137,0.56868374
138,0.56972975
139,0.53859156
140,0.5390595
141,0.53627044
142,0.54208344
143,0.56978256
144,0.53706837
145,0.56250364
146,0.547072
147,0.56869483
148,0.54856485
149,0.5400634
150,0.5701167
151,0.53793657
152,0.5400086
153,0.54197514
154,0.5369428
155,0.5376886
156,0.5378433
157,0.537338
158,0.5698565
159,0.56978667
160,0.5479065
161,0.56869346
162,0.5375694
163,0.56853455
164,0.5686869
165,0.57016605
166,0.53818977
167,0.53890383
168,0.56119907
169,0.5379907
170,0.56978256
171,0.5365246
172,0.53774875
173,0.53678554
174,0.53740084
175,0.5375014
176,0.5412086
177,0.5430926
178,0.53939414
179,0.5367099
180,0.53635305
181,0.5363851
182,0.5386822
183,0.535472
184,0.5542193
185,0.5494205
186,0.5373669
187,0.53831697
188,0.5362026
189,0.5364468
190,0.5364929
191,0.56285506
192,0.56981623
193,0.53716516
194,0.5426162
195,0.56978256
196,0.56978256
197,0.55332404
198,0.53782904
199,0.5698104
200,0.53727233
201,0.5374297
202,0.5381306
203,0.53762126
204,0.5361278
205,0.5360019
206,0.5605375
207,0.5380076
208,0.53564537
209,0.5362134
210,0.54896754
211,0.5701321
212,0.53906935
213,0.5454697
214,0.53684074
215,0.5357835
216,0.55116683
217,0.53666586
218,0.537369
219,0.56978256
220,0.56006217
221,0.5407865
222,0.5362813
223,0.5704526
224,0.54790366
225,0.5370846
226,0.5498084
227,0.53813833
228,0.5502907
229,0.54787123
230,0.5364762
231,0.5426665
232,0.5375791
233,0.5697983
234,0.5376685
235,0.5365349
236,0.56989235
237,0.56979585
238,0.5385052
239,0.5372525
240,0.5521716
241,0.53854084
242,0.536159
243,0.5494308
244,0.5395127
245,0.552383
246,0.5600688
247,0.55046564
248,0.54391223
249,0.56978565
250,0.56978256
251,0.5422228
252,0.56900537
253,0.56978774
254,0.5600682
255,0.5390491
256,0.53739077
257,0.54393995
258,0.5361042
259,0.54018193
260,0.56003755
261,0.5376786
262,0.53778243
263,0.5601597
264,0.5376755
265,0.5379847
266,0.569849
267,0.5509338
268,0.53683084
269,0.5419494
270,0.5697871
271,0.5377404
272,0.53658384
273,0.53859705
274,0.537754
275,0.5701823
276,0.53607595
277,0.53744286
278,0.5686945
279,0.5601914
280,0.56006855
281,0.54219586
282,0.5375122
283,0.56982386
284,0.56978935
285,0.53919053
286,0.5559972
287,0.5624561
288,0.56978256
289,0.53589946
